category,seed,test_overlap,test_overlap_pos,test_overlap_neg
granulated_sugar,0,0.333333,0.207143,0.426316
granulated_sugar,1,0.342424,0.192857,0.452632
granulated_sugar,2,0.342424,0.221429,0.431579
granulated_sugar,3,0.336364,0.178571,0.452632
granulated_sugar,4,0.336364,0.242857,0.405263
milk,0,0.293939,0.142857,0.405263
milk,1,0.342424,0.221429,0.431579
milk,2,0.3,0.235714,0.347368
milk,3,0.29697,0.214286,0.357895
milk,4,0.290909,0.185714,0.368421
bread,0,0.381818,0.271429,0.463158
bread,1,0.393939,0.3,0.463158
bread,2,0.351515,0.207143,0.457895
bread,3,0.381818,0.228571,0.494737
bread,4,0.336364,0.2,0.436842
beer,0,0.384848,0.25,0.484211
beer,1,0.393939,0.285714,0.473684
beer,2,0.390909,0.307143,0.452632
beer,3,0.369697,0.285714,0.431579
beer,4,0.345455,0.192857,0.457895
laundry_detergent,0,0.339394,0.257143,0.4
laundry_detergent,1,0.3,0.214286,0.363158
laundry_detergent,2,0.351515,0.235714,0.436842
laundry_detergent,3,0.366667,0.207143,0.484211
laundry_detergent,4,0.293939,0.185714,0.373684
fresh_apples,0,0.321212,0.2,0.410526
fresh_apples,1,0.336364,0.207143,0.431579
fresh_apples,2,0.3,0.171429,0.394737
fresh_apples,3,0.336364,0.2,0.436842
fresh_apples,4,0.336364,0.185714,0.447368
