model_a,model_b,n,mean_diff,a_wins,b_wins,ties,p_raw,p_holm
BoW+MLP(256),Char n-gram(3-5) + LogReg,30,-0.0202856,0,30,0,1.72786e-06,1.72786e-05
Char n-gram(3-5) + LogReg,Unigram BoW + LogReg,30,0.0310891,30,0,0,1.73222e-06,1.72786e-05
Char n-gram(3-5) + LogReg,Word 1-2-gram + LogReg,30,0.0300803,30,0,0,1.72786e-06,1.72786e-05
Char n-gram(3-5) + LogReg,Word 1-3-gram + LogReg,30,0.0324715,30,0,0,1.73222e-06,1.72786e-05
BoW+MLP(256),Word 1-3-gram + LogReg,30,0.0121858,25,5,0,1.82446e-05,0.000109468
BoW+MLP(256),Unigram BoW + LogReg,30,0.0108034,25,5,0,4.0696e-05,0.00020348
Word 1-2-gram + LogReg,Word 1-3-gram + LogReg,30,0.00239114,17,0,13,0.000293053,0.00117221
BoW+MLP(256),Word 1-2-gram + LogReg,30,0.00979469,23,7,0,0.000453198,0.0013596
Unigram BoW + LogReg,Word 1-3-gram + LogReg,30,0.0013824,17,9,4,0.158661,0.317323
Unigram BoW + LogReg,Word 1-2-gram + LogReg,30,-0.00100875,10,12,8,0.505701,0.505701
